id,timestamp,label
1920,15044736,start2
2176,15044603,start2
1792,15045307,start2
1152,15045298,start2
2432,15045306,start2
512,15045306,start2
1024,15045597,start2
4864,15131902,start1
3072,15131911,start1
3712,15131916,start1
3328,15131911,start1
2944,15131918,start1
4224,15132083,start1
3584,15132084,start1
4736,15131903,start1
2688,15132125,start1
2560,15131904,start1
4480,15132073,start1
3456,15132113,start1
3200,15131917,start1
4992,15131982,start1
4352,15132049,start1
3968,15132113,start1
4096,15132075,start1
4608,15131901,start1
2816,15131981,start1
3840,15132131,start1
4096,15262936,start2
4992,15262933,start2
3072,15262943,start2
4864,15262942,start2
4480,15262940,start2
2944,15262937,start2
4224,15262940,start2
3200,15262941,start2
3328,15262948,start2
3584,15262941,start2
2816,15262938,start2
3712,15263182,start2
3968,15263482,start2
4736,15263512,start2
2560,15263579,start2
3456,15263689,start2
3840,15263693,start2
4608,15263699,start2
2688,15263935,start2
4352,15264014,start2
5504,15348428,start1
5376,15348427,start1
6016,15348666,start1
5760,15348668,start1
5632,15348645,start1
6272,15348443,start1
6144,15348431,start1
5888,15348641,start1
5248,15348604,start1
5120,15348628,start1
6400,15348635,start1
6528,15348694,start1
6656,15348869,start1
6784,15348857,start1
6912,15349392,start1
7296,15349391,start1
7168,15349772,start1
7040,15349767,start1
7552,15349969,start1
7424,15350155,start1
5248,15479069,start2
6784,15479061,start2
5120,15479112,start2
6272,15479638,start2
6656,15480054,start2
6528,15480085,start2
5760,15480195,start2
5888,15479961,start2
6400,15480264,start2
5376,15480328,start2
6144,15480347,start2
5504,15480401,start2
5632,15480526,start2
7168,15480542,start2
6912,15480422,start2
7040,15480553,start2
6016,15480658,start2
7552,15480802,start2
7296,15481058,start2
7424,15482238,start2
7680,15565018,start1
7936,15565056,start1
8064,15565024,start1
7808,15565019,start1
8064,15690766,start2
7936,15691993,start2
7808,15692665,start2
7680,15692939,start2
7680,15768333,start2
128,15855873,start1
1408,15855874,start1
2048,15855918,start1
1920,15856443,start1
640,15856261,start1
0,15856451,start1
1536,15856227,start1
896,15856226,start1
768,15856459,start1
256,15856396,start1
1280,15856729,start1
1792,15856529,start1
512,15856523,start1
1024,15856715,start1
2304,15856569,start1
2432,15856528,start1
2176,15856607,start1
384,15856717,start1
1152,15856667,start1
1664,15857000,start1
1408,15988081,start2
768,15988078,start2
2048,15988122,start2
896,15988228,start2
1536,15988230,start2
1280,15988436,start2
128,15988405,start2
1920,15988418,start2
1792,15988615,start2
0,15988943,start2
2176,15988897,start2
512,15988942,start2
640,15988992,start2
256,15989216,start2
2304,15989285,start2
1664,15989287,start2
384,15989317,start2
1152,15989483,start2
2432,15989616,start2
1024,15989677,start2
2816,16074505,start1
2688,16074515,start1
3200,16074508,start1
3456,16074518,start1
2944,16074513,start1
3712,16074506,start1
3584,16074520,start1
2560,16074516,start1
3328,16074519,start1
3072,16074516,start1
3968,16074509,start1
3840,16074508,start1
4096,16074512,start1
4352,16074520,start1
4224,16074502,start1
4480,16074793,start1
4992,16075947,start1
4608,16075859,start1
4736,16076198,start1
4864,16076307,start1
2944,16205575,start2
3584,16205575,start2
3328,16205576,start2
2560,16205571,start2
3072,16205576,start2
2688,16205572,start2
4480,16206040,start2
3456,16206100,start2
3968,16206038,start2
3840,16206098,start2
4224,16206177,start2
