x,y,z,time,label
2528,0,0,0,des_start_0
4128,0,0,0,des_start_0
30,0,0,0,des_start_0
1495,0,0,0,des_start_0
3104,0,0,0,des_start_0
2080,0,0,0,des_start_0
4672,0,0,0,des_start_0
482,0,0,0,des_start_0
1578,0,0,0,des_start_0
3553,0,0,0,des_start_0
2529,0,0,0,des_start_0
4129,0,0,0,des_start_0
31,0,0,0,des_start_0
1500,0,0,0,des_start_0
3105,0,0,0,des_start_0
2081,0,0,0,des_start_0
4673,0,0,0,des_start_0
483,0,0,0,des_start_0
1579,0,0,0,des_start_0
3554,0,0,0,des_start_0
2530,0,0,0,des_start_0
4130,0,0,0,des_start_0
32,0,0,0,des_start_0
1501,0,0,0,des_start_0
3106,0,0,0,des_start_0
2082,0,0,0,des_start_0
4674,0,0,0,des_start_0
488,0,0,0,des_start_0
1572,0,0,0,des_start_0
3555,0,0,0,des_start_0
2531,0,0,0,des_start_0
4131,0,0,0,des_start_0
33,0,0,0,des_start_0
1502,0,0,0,des_start_0
3107,0,0,0,des_start_0
2083,0,0,0,des_start_0
4675,0,0,0,des_start_0
489,0,0,0,des_start_0
1573,0,0,0,des_start_0
3560,0,0,0,des_start_0
2536,0,0,0,des_start_0
4136,0,0,0,des_start_0
34,0,0,0,des_start_0
1503,0,0,0,des_start_0
3112,0,0,0,des_start_0
2088,0,0,0,des_start_0
4680,0,0,0,des_start_0
490,0,0,0,des_start_0
1574,0,0,0,des_start_0
3561,0,0,0,des_start_0
2537,0,0,0,des_start_0
4137,0,0,0,des_start_0
35,0,0,0,des_start_0
1600,0,0,0,des_start_0
3113,0,0,0,des_start_0
2089,0,0,0,des_start_0
4681,0,0,0,des_start_0
491,0,0,0,des_start_0
1575,0,0,0,des_start_0
3562,0,0,0,des_start_0
2538,0,0,0,des_start_0
4138,0,0,0,des_start_0
40,0,0,0,des_start_0
1601,0,0,0,des_start_0
3114,0,0,0,des_start_0
2090,0,0,0,des_start_0
4682,0,0,0,des_start_0
484,0,0,0,des_start_0
1580,0,0,0,des_start_0
3563,0,0,0,des_start_0
2539,0,0,0,des_start_0
4139,0,0,0,des_start_0
41,0,0,0,des_start_0
1602,0,0,0,des_start_0
3115,0,0,0,des_start_0
2091,0,0,0,des_start_0
4683,0,0,0,des_start_0
485,0,0,0,des_start_0
1581,0,0,0,des_start_0
3556,0,0,0,des_start_0
2532,0,0,0,des_start_0
4132,0,0,0,des_start_0
42,0,0,0,des_start_0
1603,0,0,0,des_start_0
3108,0,0,0,des_start_0
2084,0,0,0,des_start_0
4676,0,0,0,des_start_0
486,0,0,0,des_start_0
1582,0,0,0,des_start_0
3557,0,0,0,des_start_0
2533,0,0,0,des_start_0
4133,0,0,0,des_start_0
43,0,0,0,des_start_0
1608,0,0,0,des_start_0
3109,0,0,0,des_start_0
2085,0,0,0,des_start_0
4677,0,0,0,des_start_0
487,0,0,0,des_start_0
1583,0,0,0,des_start_0
3558,0,0,0,des_start_0
2534,0,0,0,des_start_0
4134,0,0,0,des_start_0
36,0,0,0,des_start_0
1609,0,0,0,des_start_0
3110,0,0,0,des_start_0
2086,0,0,0,des_start_0
4678,0,0,0,des_start_0
492,0,0,0,des_start_0
1584,0,0,0,des_start_0
3559,0,0,0,des_start_0
2535,0,0,0,des_start_0
4135,0,0,0,des_start_0
37,0,0,0,des_start_0
1610,0,0,0,des_start_0
3111,0,0,0,des_start_0
2087,0,0,0,des_start_0
4679,0,0,0,des_start_0
493,0,0,0,des_start_0
1585,0,0,0,des_start_0
3564,0,0,0,des_start_0
2540,0,0,0,des_start_0
4140,0,0,0,des_start_0
38,0,0,0,des_start_0
1611,0,0,0,des_start_0
3116,0,0,0,des_start_0
2092,0,0,0,des_start_0
4684,0,0,0,des_start_0
494,0,0,0,des_start_0
1586,0,0,0,des_start_0
3565,0,0,0,des_start_0
2541,0,0,0,des_start_0
4141,0,0,0,des_start_0
39,0,0,0,des_start_0
1604,0,0,0,des_start_0
3117,0,0,0,des_start_0
2093,0,0,0,des_start_0
4685,0,0,0,des_start_0
495,0,0,0,des_start_0
1587,0,0,0,des_start_0
3566,0,0,0,des_start_0
2542,0,0,0,des_start_0
4142,0,0,0,des_start_0
44,0,0,0,des_start_0
1605,0,0,0,des_start_0
3118,0,0,0,des_start_0
2094,0,0,0,des_start_0
4686,0,0,0,des_start_0
496,0,0,0,des_start_0
1592,0,0,0,des_start_0
3567,0,0,0,des_start_0
2543,0,0,0,des_start_0
4143,0,0,0,des_start_0
45,0,0,0,des_start_0
1606,0,0,0,des_start_0
3119,0,0,0,des_start_0
2095,0,0,0,des_start_0
4687,0,0,0,des_start_0
497,0,0,0,des_start_0
1593,0,0,0,des_start_0
3568,0,0,0,des_start_0
2544,0,0,0,des_start_0
4144,0,0,0,des_start_0
46,0,0,0,des_start_0
1607,0,0,0,des_start_0
3120,0,0,0,des_start_0
2096,0,0,0,des_start_0
4688,0,0,0,des_start_0
498,0,0,0,des_start_0
1594,0,0,0,des_start_0
3569,0,0,0,des_start_0
2545,0,0,0,des_start_0
4145,0,0,0,des_start_0
47,0,0,0,des_start_0
1612,0,0,0,des_start_0
3121,0,0,0,des_start_0
2097,0,0,0,des_start_0
4689,0,0,0,des_start_0
499,0,0,0,des_start_0
1595,0,0,0,des_start_0
3570,0,0,0,des_start_0
2546,0,0,0,des_start_0
4146,0,0,0,des_start_0
48,0,0,0,des_start_0
1613,0,0,0,des_start_0
3122,0,0,0,des_start_0
2098,0,0,0,des_start_0
4690,0,0,0,des_start_0
504,0,0,0,des_start_0
1588,0,0,0,des_start_0
3571,0,0,0,des_start_0
2547,0,0,0,des_start_0
4147,0,0,0,des_start_0
49,0,0,0,des_start_0
1614,0,0,0,des_start_0
3123,0,0,0,des_start_0
2099,0,0,0,des_start_0
4691,0,0,0,des_start_0
505,0,0,0,des_start_0
1589,0,0,0,des_start_0
3576,0,0,0,des_start_0
2552,0,0,0,des_start_0
4152,0,0,0,des_start_0
50,0,0,0,des_start_0
1615,0,0,0,des_start_0
3128,0,0,0,des_start_0
2104,0,0,0,des_start_0
4696,0,0,0,des_start_0
506,0,0,0,des_start_0
1590,0,0,0,des_start_0
3577,0,0,0,des_start_0
2553,0,0,0,des_start_0
4153,0,0,0,des_start_0
51,0,0,0,des_start_0
1616,0,0,0,des_start_0
3129,0,0,0,des_start_0
2105,0,0,0,des_start_0
4697,0,0,0,des_start_0
507,0,0,0,des_start_0
1591,0,0,0,des_start_0
3578,0,0,0,des_start_0
2554,0,0,0,des_start_0
4154,0,0,0,des_start_0
56,0,0,0,des_start_0
1617,0,0,0,des_start_0
3130,0,0,0,des_start_0
2106,0,0,0,des_start_0
4698,0,0,0,des_start_0
500,0,0,0,des_start_0
1596,0,0,0,des_start_0
3579,0,0,0,des_start_0
2555,0,0,0,des_start_0
4155,0,0,0,des_start_0
57,0,0,0,des_start_0
1618,0,0,0,des_start_0
3131,0,0,0,des_start_0
2107,0,0,0,des_start_0
4699,0,0,0,des_start_0
501,0,0,0,des_start_0
1597,0,0,0,des_start_0
3572,0,0,0,des_start_0
2548,0,0,0,des_start_0
4148,0,0,0,des_start_0
58,0,0,0,des_start_0
1619,0,0,0,des_start_0
3124,0,0,0,des_start_0
2100,0,0,0,des_start_0
4692,0,0,0,des_start_0
502,0,0,0,des_start_0
1598,0,0,0,des_start_0
3573,0,0,0,des_start_0
2549,0,0,0,des_start_0
4149,0,0,0,des_start_0
59,0,0,0,des_start_0
1624,0,0,0,des_start_0
3125,0,0,0,des_start_0
2101,0,0,0,des_start_0
4693,0,0,0,des_start_0
503,0,0,0,des_start_0
1599,0,0,0,des_start_0
3574,0,0,0,des_start_0
2550,0,0,0,des_start_0
4150,0,0,0,des_start_0
52,0,0,0,des_start_0
1625,0,0,0,des_start_0
3126,0,0,0,des_start_0
2102,0,0,0,des_start_0
4694,0,0,0,des_start_0
508,0,0,0,des_start_0
1824,0,0,0,des_start_0
3575,0,0,0,des_start_0
2551,0,0,0,des_start_0
4151,0,0,0,des_start_0
53,0,0,0,des_start_0
1626,0,0,0,des_start_0
3127,0,0,0,des_start_0
2103,0,0,0,des_start_0
4695,0,0,0,des_start_0
509,0,0,0,des_start_0
1825,0,0,0,des_start_0
3580,0,0,0,des_start_0
2556,0,0,0,des_start_0
4156,0,0,0,des_start_0
54,0,0,0,des_start_0
1627,0,0,0,des_start_0
3132,0,0,0,des_start_0
2108,0,0,0,des_start_0
4700,0,0,0,des_start_0
510,0,0,0,des_start_0
1826,0,0,0,des_start_0
3581,0,0,0,des_start_0
2557,0,0,0,des_start_0
4157,0,0,0,des_start_0
55,0,0,0,des_start_0
1620,0,0,0,des_start_0
3133,0,0,0,des_start_0
2109,0,0,0,des_start_0
